asset_id,current_alt,proposed_alt,proposed_caption,confidence,notes
TAT-IRE-024,"Japanese style octopus irezumi ukiyoe yokai cherry blossoms, black and grey Tattoo",Black and red masked figure with octopus tentacles and blossoms.,Masked octopus figure.,medium,"The mask, tentacles, and blossoms are visible, but the exact character is unclear."
TAT-IRE-025,"Japanese style tattoo hannya mask, tattoo, black and grey on the throat",Black and grey hannya mask centered on the throat.,Hannya throat tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-026,"Japanese style tattoo, snake and peony flower full color irezumi Tattoo",Color snake coiled around a peony on the thigh.,Snake and peony.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-027,"Japanese style Koi fish, full color, cherry blossom, Flower irezumi Tattoo",Color koi with cherry blossoms on the forearm.,Koi and cherry blossoms.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-028,"Japanese style tattoo, full color dragon with Daruma, cherry blossom and chrysanthemum Tattoo full sleeve irezumi tattoo",Outer view of a color Japanese dragon and Daruma sleeve with flowers.,"Dragon and Daruma sleeve, outer view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-029,"Japanese style tattoo, full color dragon with Daruma, cherry blossom and chrysanthemum Tattoo full sleeve irezumi tattoo",Side view of a color Japanese dragon and Daruma sleeve with flowers.,"Dragon and Daruma sleeve, side view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-030,"Japanese style tattoo, full color dragon with Daruma, cherry blossom and chrysanthemum Tattoo full sleeve irezumi tattoo",Inner view of a color Japanese dragon and Daruma sleeve with flowers.,"Dragon and Daruma sleeve, inner view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-031,"Japanese style tattoo, full color, frog tattoo",Color cartoon frog flexing on the wrist.,Flexing frog.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-032,"Japanese style tattoo, Samurai helmet, cherry blossom, Flower, black crow Japanese style wind-bar background irezumi Tattoo",Outer view of a black and red samurai helmet and crow sleeve.,"Samurai helmet and crow sleeve, outer view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-033,"Japanese style tattoo, Samurai helmet, cherry blossom, Flower, black crow Japanese style wind-bar background irezumi Tattoo",Alternate view of a black and red samurai helmet and crow sleeve.,"Samurai helmet and crow sleeve, inner view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-034,"Black and grey sleeve with red: snake, cat, and hannya mask",Outer view of a black and red sleeve with a snake and hannya mask.,"Snake and hannya sleeve, outer view.",high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-IRE-035,"Japanese style tattoo, full sleeve, black and grey with red snake versus cat with Hannya mask tattoo irezumi Tattoo","Inner view of a black and red sleeve with a snake, cat, and hannya mask.","Snake and cat sleeve, inner view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-036,"Japanese style tattoo, full sleeve, peony, flower, moth, cherry blossom, Flower Japanese fox Kitsune Japanese mask tattoo","Outer view of a black and red sleeve with peonies, a moth, and kitsune mask.","Kitsune and peony sleeve, outer view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-037,"Japanese style tattoo, full sleeve, peony, flower, moth, cherry blossom, Flower Japanese fox Kitsune Japanese mask tattoo","Back view of a black and red sleeve with peonies, a moth, and kitsune mask.","Kitsune and peony sleeve, back view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-038,"Japanese style tattoo, full sleeve, peony, flower, moth, cherry blossom, Flower Japanese fox Kitsune Japanese mask tattoo","Front view of a black and red sleeve with peonies, a moth, and kitsune mask.","Kitsune and peony sleeve, front view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-039,"Japanese style tattoo, full sleeve, peony, flower, moth, cherry blossom, Flower Japanese fox Kitsune Japanese mask tattoo","Inner view of a black and red sleeve with peonies, a moth, and kitsune mask.","Kitsune and peony sleeve, inner view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-040,"Japanese style, black and grey chrysanthemum flower irezumi Tattoo",Blackwork chrysanthemum on the calf.,Chrysanthemum calf tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-041,"Japanese style tattoo, peony, flower, black and grey irezumi Tattoo",Black and grey peony on the forearm.,Peony forearm tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-042,"Black and grey sleeve with red: snake, peony, and chrysanthemum",Outer view of a black and grey snake and flower sleeve with red accents.,"Snake and flower sleeve, outer view.",high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-IRE-043,"Japanese style tattoo, full sleeve, snake peony flower, chrysanthemum flower Japanese style wind-bar background black and grey with red irezumi Tattoo",Inner view of a black and grey snake and flower sleeve with red accents.,"Snake and flower sleeve, inner view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-044,"Japanese style Tattoo Geisha, holding snake with cherry blossoms, black and grey with red irezumi Tattoo","Black and red geisha holding a snake, framed by cherry blossoms.",Geisha and snake.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-045,"Japanese style tattoo hannya Japanese mask hand dice, and stars, Tattoo, black and grey",Black and grey hannya mask with dice and stars across the hand.,Hannya hand tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-046,"Japanese style tattoo hannya Japanese mask hand dice, and stars, Tattoo, black and grey",Alternate view of a black and grey hannya mask with dice and stars across the hand.,"Hannya hand tattoo, alternate view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-047,"Japanese style Tattoo Geisha namakubi severed head, cherry blossoms, black and grey with red irezumi Tattoo",Black and red geisha head with cherry blossoms on the thigh.,Geisha and cherry blossoms.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-048,"Japanese style tattoo, Dragon, black and grey with red flames irezumi Tattoo",Black and red Japanese dragon head on the calf.,Dragon calf tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-049,"Japanese style tattoo, chrysanthemum, flower, black and grey irezumi Tattoo",Black and grey chrysanthemum across the upper arm.,Chrysanthemum upper arm tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-050,"Japanese style tattoo, swallow, Bird cherry blossom, Flower irezumi Tattoo",Black and grey swallow with cherry blossoms on the shoulder.,Swallow and cherry blossoms.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-051,Black and grey Japanese dragon backpiece,Black and grey Japanese dragon backpiece.,Dragon backpiece.,high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-IRE-052,"Japanese style tattoo, chrysanthemum, flower, black and grey with red Daruma doll irezumi Tattoo",Black and red Daruma nested inside a chrysanthemum on the upper arm.,Daruma and chrysanthemum.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-053,"Japanese style tattoo, black and grey Hannya mask with red cherry blossom Flower irezumi Tattoo",Black and grey hannya mask with red cherry blossoms on the upper arm.,Hannya and cherry blossoms.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-054,Japanese style Tattoo Koi fish with Japanese style finger waves irezumi Tattoo,Black and grey koi with waves on the forearm.,Koi and waves.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-055,"Japanese style tattoo, peony flower with Japanese style finger waves irezumi Tattoo",Black and grey lotus seed pod and waves on the forearm.,Lotus and waves.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-056,"Japanese style tattoo, black and grey dragon with black flames irezumi Tattoo",Black and grey coiled dragon on the thigh.,"Coiled dragon, first view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-057,"Japanese style tattoo, black and grey dragon with black flames irezumi Tattoo",Alternate view of a black and grey coiled dragon on the thigh.,"Coiled dragon, alternate view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-058,Japanese style Tattoo Koi fish with Japanese style finger waves tattoo,Black and grey koi with waves and flowers on the forearm.,"Koi, waves, and flowers.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-059,"Japanese style tattoo, full sleeve monk praying under waterfall peony flowers Japanese style finger, Wave irezumi Tattoo","Color Japanese sleeve with a seated monk, peony, and red flowers.",Monk and peony sleeve.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-060,Full-color Japanese dragon and koi sleeve,Color Japanese dragon and koi sleeve.,Dragon and koi sleeve.,high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-IRE-061,Japanese style Tattoo Koi fish with Japanese style finger waves tattoo,Black and red tiger and koi sleeve with waves.,Tiger and koi sleeve.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-062,Japanese style Tattoo lotus flower enflamed holding houju irezumi black and grey tattoo,Black and grey sacred jewel resting in a lotus with flames.,Sacred jewel and lotus.,medium,"The jewel, lotus, and flames are visible; the sacred-jewel identification is supported by the legacy label."
TAT-IRE-063,"Japanese style tattoo, Pisces Koi fish black and grey irezumi tattoo",Black and grey Pisces koi pair on the upper arm.,Pisces koi.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-064,"Japanese style Tattoo swallow birds holding omamori amulet with Japanese kanji writing, black and grey irezumi tattoo",Black and grey swallows carrying an omamori charm on the chest.,Swallows and omamori.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-065,Black and grey Japanese tiger thigh tattoo with waves,Black and grey Japanese tiger with waves on the thigh.,Tiger thigh tattoo.,high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-IRE-066,"Japanese style Tattoo tiger with Japanese style finger waves, black and grey irezumi tattoo",Alternate view of a black and grey Japanese tiger with waves on the thigh.,"Tiger thigh tattoo, alternate view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-067,"Japanese tattoo, snake and peony flower, black and grey with red irezumi tattoo",Black and grey snake and peony on the thigh with red accents.,Snake and peony thigh tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-068,Japanese Tattoo kintaro deity yokai ukiyoe irezumi black and graytattoo,Black and grey paired faces with sweeping black hair on the arm.,Paired faces.,medium,"The paired faces and hair are visible, but the legacy Kintaro identification is not supported by the pixels alone."
TAT-IRE-069,"Japanese tattoo, magic mallet uchide no kozuchi ukiyoe yokai irezumi black and grey tattoo",Black and grey uchide no kozuchi mallet with waves and ribbon.,Magic mallet and waves.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-070,"Japanese style tattoo, hannya mask neo, Japanese black and grey Japanese style finger waves irezumi Tattoo",Black and grey hannya mask with waves on the lower leg.,Hannya mask and waves.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-071,Japanese Tattoo Geisha boujee rich girl jewelry money ukiyoe irezumi tattoo,Color geisha holding a stack of cash.,Geisha with cash.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-072,"Japanese tattoo, black and grey dragon, red flames, pink cherry blossoms irezumi tattoo",Black and red Japanese dragon with cherry blossoms on the thigh.,Dragon and cherry blossoms.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-073,"Japanese style tattoo, Koi fish finger waves cherry blossoms whacking Gray with red irezumi Tattoo",Black and red koi with waves and cherry blossoms on the forearm.,Koi and cherry blossoms.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-074,"Japanese tattoo, Frog Koi fish, Japanese style finger, waves, black and grey with red. Irezumi Tattoo",Black and red frog warrior with a sword and koi on the forearm.,Frog warrior and koi.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-075,"Japanese Tattoo Koi fish finger, Waves cherry blossom irezumi tattoo",Black and red koi with cherry blossoms on the forearm.,Koi and cherry blossoms.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-076,"Japanese tattoo, cherry stem, Japanese masks, black work irezumi tattoo",Black and grey paired cherries drawn as smiling faces on the lower leg.,Cherry faces.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-077,Japanese tattoo Japanese mask split with chrysanthemum flower in the middle irezumi Tattoo,Black and grey split mask beneath a chrysanthemum on the forearm.,Split mask and chrysanthemum.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-078,"Japanese tattoo, Buddha hand with eyeball on the palm, holding flames, black and grey irezumi tattoo",Black and grey hand with an eye in its palm holding a flame.,"Hand, eye, and flame.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-079,"Japanese tattoo, peony, flower, black and grey neo Japanese tattoo",Black and grey peony on the forearm.,Peony forearm tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-080,Kitsune mask and cherry blossoms tattooed on a hand,Kitsune mask and cherry blossoms across the hand.,Kitsune hand tattoo.,high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-IRE-081,Japanese tattoo,"Black and grey sleeve with a woman's portrait, Noh mask, and red eye accents.",Woman and Noh mask sleeve.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-IRE-082,"Japanese tattoo, lucky cat with cherry blossoms, black and grey tattoo",Black and grey lucky cat surrounded by cherry blossoms.,Lucky cat and cherry blossoms.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-083,"Japanese tattoo, snake coiled around a chrysanthemum flower full color neo Japanese tattoo",Color snake coiled around a chrysanthemum on the forearm.,Snake and chrysanthemum.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-084,"Black and grey geisha, peony, and koi sleeve","Black and grey geisha, peony, and koi sleeve.",Geisha sleeve.,high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-IRE-085,"Japanese tattoo, chrysanthemum, flower, black and grey tattoo",Black and grey chrysanthemum across the upper arm.,Chrysanthemum upper arm tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-086,"Japanese Tattoo, full color neo Japanese monkey king Tattoo",Color Monkey King portrait on the side of the neck.,Monkey King neck tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-087,Japanese full Sleeve chrysanthemum Flower black Work Japanese tattoo,Outer view of a blackwork sleeve filled with chrysanthemums and peonies.,"Flower sleeve, outer view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-088,Japanese full Sleeve chrysanthemum peony Flower Flower black Work Japanese tattoo,Inner view of a blackwork sleeve filled with chrysanthemums and peonies.,"Flower sleeve, inner view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-COL-001,Illustrative color tattoo by Dylan Prorok — portfolio view 01,"Color Star Wars sleeve with Kylo Ren, a red lightsaber, and the Death Star.","Star Wars sleeve, outer view.",high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-COL-002,Illustrative color tattoo by Dylan Prorok — portfolio view 02,Alternate view of a color Star Wars sleeve with stormtroopers and TIE fighters.,"Star Wars sleeve, inner view.",high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-COL-003,Illustrative color tattoo by Dylan Prorok — portfolio view 03,"Back view of a color Star Wars sleeve with Darth Vader, spacecraft, and a lightsaber.","Star Wars sleeve, back view.",high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-COL-004,Illustrative color tattoo by Dylan Prorok — portfolio view 04,Color monarch butterfly on the side of the neck.,Monarch butterfly neck tattoo.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-COL-005,Illustrative color tattoo by Dylan Prorok — portfolio view 05,Pink cherry blossom branches across the upper arm and shoulder.,Cherry blossom branches.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-COL-006,Illustrative color tattoo by Dylan Prorok — portfolio view 06,Black and grey hooded skull above a red chrysanthemum.,Hooded skull and chrysanthemum.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-COL-007,Illustrative color tattoo by Dylan Prorok — portfolio view 07,Color geometric bird with stylized clouds.,Geometric bird.,medium,"The bird and clouds are visible, but the bird species is unclear."
TAT-COL-008,Color illustrative Medusa and snakes on an upper back and shoulder,Color Medusa with snakes across the upper back and shoulder.,Medusa upper back tattoo.,high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-COL-009,Illustrative color tattoo by Dylan Prorok — portfolio view 09,Black snake coiled around a red peony on the side of the neck.,Snake and peony neck tattoo.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-001,Black and grey illustrative two-faced panther on a forearm,Black and grey panther and woman's face on the forearm.,Panther and portrait.,high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-BNG-002,Black and grey tattoo by Dylan Prorok — portfolio view 02,Black and grey winged figure on the forearm.,Winged figure.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-003,Black and grey tattoo by Dylan Prorok — portfolio view 03,Linework flowers arranged vertically along the spine.,Floral spine tattoo.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-004,Black and grey tattoo by Dylan Prorok — portfolio view 04,Black and grey coiled snake centered on the upper back.,Coiled snake backpiece.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-005,Black and grey tattoo by Dylan Prorok — portfolio view 05,Black and grey floral tattoo wrapping the upper arm.,Floral upper arm tattoo.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-006,Black and grey tattoo by Dylan Prorok — portfolio view 06,Black and grey skull beneath a spiderweb on the forearm.,Skull and spiderweb.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-007,Black and grey tattoo by Dylan Prorok — portfolio view 07,Black and grey rose and rosary with a cross on the wrist.,Rose and rosary.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-008,Black and grey tattoo by Dylan Prorok — portfolio view 08,Symmetrical black linework design spanning the back.,Symmetrical back design.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-009,Black and grey tattoo by Dylan Prorok — portfolio view 09,Blackwork dragon head tattoo above the ear.,Dragon head tattoo.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-010,Black and grey tattoo by Dylan Prorok — portfolio view 10,Alternate view of a blackwork dragon head tattoo above the ear.,"Dragon head tattoo, alternate view.",high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-011,Black and grey tattoo by Dylan Prorok — portfolio view 11,Fine-line flowers and leaves on the forearm.,Floral forearm tattoo.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-012,Black and grey tattoo by Dylan Prorok — portfolio view 12,Mirrored black linework tigers with red flowers across the abdomen.,Paired tigers and flowers.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-013,Black and grey tattoo by Dylan Prorok — portfolio view 13,Black and grey five-petal flower on the forearm.,Five-petal flower.,medium,"The flower is clear, but its species is not visually certain."
TAT-BNG-014,Black and grey tattoo by Dylan Prorok — portfolio view 14,Black and grey spider with a flower on its abdomen.,Spider and flower.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-015,Black and grey tattoo by Dylan Prorok — portfolio view 15,Black and grey horned mask with a small flower.,Horned mask.,medium,"The mask is visible, but its specific type is unclear."
TAT-BNG-016,Black and grey tattoo by Dylan Prorok — portfolio view 16,Black and grey hooded skull on the side of the neck.,Hooded skull neck tattoo.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-017,Black and grey tattoo by Dylan Prorok — portfolio view 17,Blackwork crown of thorns on the forearm.,Crown of thorns.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-018,Black and grey tattoo by Dylan Prorok — portfolio view 18,Black and grey anatomical heart with an eye and cross.,Heart with eye.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-019,Black and grey tattoo by Dylan Prorok — portfolio view 19,Black and grey folding knife with roses.,Knife and roses.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-020,Black and grey tattoo by Dylan Prorok — portfolio view 20,Black and grey embracing skeletons and roses on the thigh.,Skeletons and roses.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-021,Black and grey tattoo by Dylan Prorok — portfolio view 21,Black and grey grinning mask with a spider above it.,Mask and spider.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-022,Black and grey tattoo by Dylan Prorok — portfolio view 22,Black and grey butterfly on the forearm.,Butterfly forearm tattoo.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-023,Black and grey tattoo by Dylan Prorok — portfolio view 23,Matching black and grey guardian lion tattoos on both thighs.,Paired guardian lions.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-024,Black and grey tattoo by Dylan Prorok — portfolio view 24,Black and grey rose on the forearm.,Rose forearm tattoo.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-025,Black and grey tattoo by Dylan Prorok — portfolio view 25,Blackwork cross above a ram skull on the forearm.,Cross and ram skull.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
TAT-BNG-026,Black and grey tattoo by Dylan Prorok — portfolio view 26,Blackwork owl head covering the back of the hand.,Owl hand tattoo.,high,Current alt/caption is generic; proposed wording comes from direct visual inspection.
